Categoria,Nome do Produto,Voltagem,Preço Principal,Preço à Vista,Qtd. Parcelas,Valor Parcela,URL da Imagem
Cassete,Ar-Condicionado Split Cassete 1 Via Inverter LG WI-FI Conect 24.000 BTUs Quente/Frio 220V Monofásico,24000 BTUs,"R$ R$ 12.399,00 à prazo","ou R$ 11.779,05 à vista",8x,"R$ 1.549,88 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-1-via-inverter-lg-wi-fi-conect-24-000-btus-quente-frio-220v-monof-sico.webp
Cassete,Ar-condicionado Split Cassete 4 Vias Inverter Fujitsu Airstage 36.000 BTUs R-32 Quente/Frio 380V Trifásico,380  V,"R$ 17.899,00","ou R$ 17.004,05 à vista",8x,"R$ 2.237,38 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-4-vias-inverter-fujitsu-airstage-36-000-btus-r-32-quente-frio-380v-trif-sico.webp
Cassete,Ar-condicionado Split Cassete 4 Vias Inverter Fujitsu Airstage 36.000 BTUs R-32 Quente/Frio 380V Trifásico,36000 BTUs,"R$ R$ 17.899,00 à prazo","ou R$ 17.004,05 à vista",8x,"R$ 2.237,38 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-4-vias-inverter-fujitsu-airstage-36-000-btus-r-32-quente-frio-380v-trif-sico.webp
Cassete,Ar-condicionado Split Cassete 4 Vias Inverter Fujitsu Airstage 30.000 BTUs R-32 Quente/Frio 220V Monofásico,220  V,"R$ 16.299,00","ou R$ 15.484,05 à vista",8x,"R$ 2.037,38 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-4-vias-inverter-fujitsu-airstage-30-000-btus-r-32-quente-frio-220v-monof-sico.webp
Cassete,Ar-condicionado Split Cassete 4 Vias Inverter Fujitsu Airstage 30.000 BTUs R-32 Quente/Frio 220V Monofásico,30000 BTUs,"R$ R$ 16.299,00 à prazo","ou R$ 15.484,05 à vista",8x,"R$ 2.037,38 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-4-vias-inverter-fujitsu-airstage-30-000-btus-r-32-quente-frio-220v-monof-sico.webp
Cassete,Ar-condicionado Split Cassete 4 Vias Inverter Fujitsu Airstage 18.000 BTUs R-32 Quente/Frio 220V Monofásico,220  V,"R$ 10.849,00","ou R$ 10.306,55 à vista",8x,"R$ 1.356,13 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-4-vias-inverter-fujitsu-airstage-18-000-btus-r-32-quente-frio-220v-monof-sico.webp
Cassete,Ar-condicionado Split Cassete 4 Vias Inverter Fujitsu Airstage 18.000 BTUs R-32 Quente/Frio 220V Monofásico,18000 BTUs,"R$ R$ 10.849,00 à prazo","ou R$ 10.306,55 à vista",8x,"R$ 1.356,13 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-4-vias-inverter-fujitsu-airstage-18-000-btus-r-32-quente-frio-220v-monof-sico.webp
Cassete,Ar-condicionado Split Cassete 4 Vias Inverter Fujitsu Airstage 45.000 BTUs R-32 Quente/Frio 380V Trifásico,220  V,"R$ 19.899,00","ou R$ 18.904,05 à vista",8x,"R$ 2.487,38 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-4-vias-inverter-fujitsu-airstage-45-000-btus-r-32-quente-frio-380v-trif-sico.webp
Cassete,Ar-condicionado Split Cassete 4 Vias Inverter Fujitsu Airstage 45.000 BTUs R-32 Quente/Frio 380V Trifásico,45000 BTUs,"R$ R$ 19.899,00 à prazo","ou R$ 18.904,05 à vista",8x,"R$ 2.487,38 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-4-vias-inverter-fujitsu-airstage-45-000-btus-r-32-quente-frio-380v-trif-sico.webp
Cassete,Ar-Condicionado Split Cassete 4 Vias Inverter Eco R-32 Philco 55.000 BTUs Frio 220V Bifásico,220  V,"R$ 11.599,00","ou R$ 11.019,05 à vista",8x,"R$ 1.449,88 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-4-vias-inverter-eco-r-32-philco-55-000-btus-frio-220v-bif-sico.webp
Cassete,Ar-Condicionado Split Cassete 4 Vias Inverter Eco R-32 Philco 55.000 BTUs Frio 220V Bifásico,60000 BTUs,"R$ R$ 11.599,00 à prazo","ou R$ 11.019,05 à vista",8x,"R$ 1.449,88 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-4-vias-inverter-eco-r-32-philco-55-000-btus-frio-220v-bif-sico.webp
Cassete,Ar-Condicionado Split Cassete 4 Vias Inverter Plus R-32 Elgin 36.000 BTUs Só Frio 220V Monofásico,220  V,"R$ 9.499,00","ou R$ 9.024,05 à vista",8x,"R$ 1.187,38 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-4-vias-inverter-plus-r-32-elgin-36-000-btus-s-frio-220v-monof-sico.webp
Cassete,Ar-Condicionado Split Cassete 4 Vias Inverter Plus R-32 Elgin 36.000 BTUs Só Frio 220V Monofásico,36000 BTUs,"R$ R$ 9.499,00 à prazo","ou R$ 9.024,05 à vista",8x,"R$ 1.187,38 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-4-vias-inverter-plus-r-32-elgin-36-000-btus-s-frio-220v-monof-sico.webp
Cassete,Ar-Condicionado Split Cassete 4 Vias Inverter Plus R-32 Elgin 48.000 BTUs Só Frio 220V Monofásico,220  V,"R$ 14.199,00","ou R$ 13.489,05 à vista",8x,"R$ 1.774,88 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-4-vias-inverter-plus-r-32-elgin-48-000-btus-s-frio-220v-monof-sico.webp
Cassete,Ar-Condicionado Split Cassete 4 Vias Inverter Plus R-32 Elgin 48.000 BTUs Só Frio 220V Monofásico,48000 BTUs,"R$ R$ 14.199,00 à prazo","ou R$ 13.489,05 à vista",8x,"R$ 1.774,88 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-4-vias-inverter-plus-r-32-elgin-48-000-btus-s-frio-220v-monof-sico.webp
Cassete,Ar-Condicionado Split Cassete Inverter 4 Vias R-32 Elgin Eco 24.000 BTUs Quente/Frio 220V Monofásico,,"R$ 8.399,00","ou R$ 7.979,05 à vista",8x,"R$ 1.049,88 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-inverter-4-vias-r-32-elgin-eco-24-000-btus-quente-frio-220v-monof-sico.webp
Cassete,Ar-Condicionado Split Cassete Inverter 4 Vias R-32 Elgin Eco 24.000 BTUs Quente/Frio 220V Monofásico,24000 BTUs,"R$ R$ 8.399,00 à prazo","ou R$ 7.979,05 à vista",8x,"R$ 1.049,88 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-inverter-4-vias-r-32-elgin-eco-24-000-btus-quente-frio-220v-monof-sico.webp
Cassete,Ar-Condicionado Split Cassete Inverter 4 Vias R-32 Elgin Eco 48.000 BTUs Frio 220V Monofásico,220  V,"R$ 11.299,00","ou R$ 10.734,05 à vista",8x,"R$ 1.412,38 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-inverter-4-vias-r-32-elgin-eco-48-000-btus-frio-220v-monof-sico.webp
Cassete,Ar-Condicionado Split Cassete Inverter 4 Vias R-32 Elgin Eco 48.000 BTUs Frio 220V Monofásico,48000 BTUs,"R$ R$ 11.299,00 à prazo","ou R$ 10.734,05 à vista",8x,"R$ 1.412,38 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-inverter-4-vias-r-32-elgin-eco-48-000-btus-frio-220v-monof-sico.webp
Cassete,Ar-Condicionado Split Cassete Inverter 4 Vias R-32 Elgin Eco 56.000 BTUs Frio 220V Monofásico,220  V,"R$ 12.299,00","ou R$ 11.684,05 à vista",8x,"R$ 1.537,38 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-inverter-4-vias-r-32-elgin-eco-56-000-btus-frio-220v-monof-sico.webp
Cassete,Ar-Condicionado Split Cassete Inverter 4 Vias R-32 Elgin Eco 56.000 BTUs Frio 220V Monofásico,56000 BTUs,"R$ R$ 12.299,00 à prazo","ou R$ 11.684,05 à vista",8x,"R$ 1.537,38 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-inverter-4-vias-r-32-elgin-eco-56-000-btus-frio-220v-monof-sico.webp
Cassete,Ar-Condicionado Split Cassete Inverter 4 Vias R-32 Elgin Eco 36.000 BTUs Só Frio 220V Monofásico,,"R$ 9.099,00","ou R$ 8.644,05 à vista",8x,"R$ 1.137,38 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-inverter-4-vias-r-32-elgin-eco-36-000-btus-s-frio-220v-monof-sico.webp
